S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,Kallakurichi,Kallakurichi International School 104,Matriculation,,,,,Kallakurichi East Street,,,,,,,
,,,Tindivanam,Tindivanam International School 105,IGCSE,,,,,Tindivanam Main Road,,,,,,,
,,,Viluppuram Town,Viluppuram Town International School 106,ICSE,,,,,Viluppuram Town Nagar,,,,,,,
,,,Tirukoilur,Tirukoilur International School 107,IB,,,,,Tirukoilur Main Road,,,,,,,
,,,Tirukoilur,Tirukoilur International School 108,CBSE,,,,,Tirukoilur Main Road,,,,,,,
,,,Tirukoilur,Tirukoilur International School 109,IB,,,,,Tirukoilur Extension,,,,,,,
,,,Kallakurichi,Kallakurichi International School 110,IGCSE,,,,,Kallakurichi Colony,,,,,,,
,,,Tindivanam,Tindivanam International School 111,Matriculation,,,,,Tindivanam Nagar,,,,,,,
,,,Viluppuram Town,Viluppuram Town International School 112,IB,,,,,Viluppuram Town West Street,,,,,,,
,,,Viluppuram Town,Viluppuram Town International School 113,Matriculation,,,,,Viluppuram Town West Street,,,,,,,
,,,Gingee,Gingee International School 114,IB,,,,,Gingee Extension,,,,,,,
,,,Vanur,Vanur International School 115,CBSE,,,,,Vanur Colony,,,,,,,
,,,Vanur,Vanur International School 116,IB,,,,,Vanur Nagar,,,,,,,
,,,Viluppuram Town,Viluppuram Town International School 117,Matriculation,,,,,Viluppuram Town Extension,,,,,,,
,,,Tindivanam,Tindivanam International School 118,IB,,,,,Tindivanam East Street,,,,,,,
,,,Tirukoilur,Tirukoilur International School 119,IB,,,,,Tirukoilur Nagar,,,,,,,
,,,Marakkanam,Marakkanam International School 120,CBSE,,,,,Marakkanam Colony,,,,,,,
,,Kallakurichi,Kallakurichi,Bharathi Matric Hr Sec School,State Board,,,,,Urban,,,,,,,
,,,,Mount Carmel Matric Hr Sec School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,St Mary’s Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Adam Nursery Primary School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Oxaliss International School,CBSE,,,,,kallakurichi   ,,,,,,,
,,,,Velammal Bodhi Campus,CBSE,,,,,kallakurichi   ,,,,,,,
,,,,RR Cambridge School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Green Park Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Sunrise Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Little Flower School,State Board,,,,,kallakurichi   ,,,,,,,
,,,Chinnasalem,Sakthi Matric Hr Sec School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Bharathi Balamandir School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,ECR International School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Sri Vidhya Mandir School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Modern Public School,CBSE,,,,,kallakurichi   ,,,,,,,
,,,Sankarapuram,Jayam Matric Hr Sec School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Vivekananda Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Sri Ramakrishna School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Oxford Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Golden Valley School,State Board,,,,,kallakurichi   ,,,,,,,
,,,Ulundurpet,Saraswathi Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Little Flower School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Bright Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Global Academy,CBSE,,,,,kallakurichi   ,,,,,,,
,,,,Elite School,State Board,,,,,kallakurichi   ,,,,,,,
,,,Thiyagadurgam,Mount Park Special Academy,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Annai Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Sri Devi Matric School,State Board,,,,,kallakurichi   ,,,,,,,
,,,,National Academy,State Board,,,,,kallakurichi   ,,,,,,,
,,,,Future Academy,State Board,,,,,kallakurichi   ,,,,,,,
2,South Tamilnadu,Madurai,Madurai east block,Sri Jayendra Saraswathy Vidya Mandir,ICSE,,,,,Ponmeni,,,,,,,
,,,,Bharathi Matriculation School,Matric,,,,,Ponmeni,,,,,,,
,,,,Sri Vignesh Vidya Nivas,CBSE,,,,,Ponmeni,,,,,,,
,,,,Lakshmi Devi Vidyasala,"CBSE, ICSE",,,,,Ponmeni,,,,,,,
,,,,Christu Jyothi School,"CBSE, IGCSE",,,,,Vilangudi,,,,,,,
,,,,St. Xavier's High School,ICSE,,,,,Vilangudi,,,,,,,
,,,,Vivekanda Matriculation School,Matric,,,,,Vilangudi,,,,,,,
,,,,Pragati International School,"CBSE, IGCSE, IB",,,,,Vilangudi,,,,,,,
,,,,Sri Hari Vidya Mandir,Matric,,,,,Chokkikulam,,,,,,,
,,,,Saraswathi Vidya Mandir,CBSE,,,,,Chokkikulam,,,,,,,
,,,,Vidya Vikas Academy,ICSE,,,,,Chokkikulam,,,,,,,
,,,,Global International School,"CBSE, IGCSE",,,,,Chokkikulam,,,,,,,
,,,,Sri Aurobindo High School,CBSE,,,,,Andipatti,,,,,,,
,,,,Veerbhadra Vidya Pith,Matric,,,,,Andipatti,,,,,,,
,,,,Knowledge Academy,"CBSE, ICSE",,,,,Andipatti,,,,,,,
,,,,Bharatiya Vidya Bhavan,ICSE,,,,,Andipatti,,,,,,,
,,,,Sri Krishna Academy,CBSE,,,,,Tirumangalam,,,,,,,
,,,,Devendra Vidya Mandir,Matric,,,,,Tirumangalam,,,,,,,
,,,,Sri Meenakshi Vidya Nivas,ICSE,,,,,Tirumangalam,,,,,,,
,,,,Wisdom International School,"CBSE, IGCSE",,,,,Tirumangalam,,,,,,,
,,,,Sri Balaji High School,Matric,,,,,Melur,,,,,,,
,,,,Arjun Vidya Mandir,CBSE,,,,,Melur,,,,,,,
,,,,Saraswathi International School,"ICSE, IGCSE",,,,,Melur,,,,,,,
,,,,Vedanta Vidya Peeth,"CBSE, IB",,,,,Melur,,,,,,,
,,,,Chettinad Vidyashram,"CBSE, ICSE",,,,,T. Nagar,,,,,,,
,,,,Sri Ramakrishna Vidyalaya,CBSE,,,,,Pasumalai,,,,,,,
,,,,Anna Nagar Puthiya Vidyalaya,CBSE,,,,,Anna Nagar,,,,,,,
,,,,Montfort Matriculation School,"Matric, ICSE",,,,,Mission Compound,,,,,,,
,,,,Jai Jawan Jai Kisan School,CBSE,,,,,West Mambalam,,,,,,,
,,,,Sri Hari International School,"CBSE, IGCSE, IB",,,,,New Colony,,,,,,,
,,,,Aakaar International School,"CBSE, IGCSE",,,,,Ponmeni,,,,,,,
,,,,Delhi Public School Madurai,CBSE,,,,,Vilangudi,,,,,,,
,,,,Elite International Academy,"CBSE, ICSE, IGCSE",,,,,Chokkikulam,,,,,,,
,,,,Sri Vignesh Academy,CBSE,,,,,Andipatti,,,,,,,
,,,,Samskrita Vidya Peetham,Matric,,,,,Tirumangalam,,,,,,,
,,,,Rainbow International School,"CBSE, IGCSE",,,,,Melur,,,,,,,
,,,Madurai west block,Velammal Vidyalaya,CBSE,,,,,Anuppanadi,,,,,,,
,,,,Sri Hari Academy,CBSE,,,,,Anuppanadi,,,,,,,
,,,,Delhi World Public School,CBSE,,,,,Paravai,,,,,,,
,,,,Spark Academy,ICSE,,,,,Paravai,,,,,,,
,,,,Jain Vidyalaya School,CBSE,,,,,Thiruppalai,,,,,,,
,,,,Sri Bhagwan Public School,Matric,,,,,Thiruppalai,,,,,,,
,,,,Grace Academy,ICSE,,,,,Thiruppalai,,,,,,,
,,,,Mahatma Global Gateway CBSE School,CBSE,,,,,Veerapanchan,,,,,,,
,,,,Keren Matriculation School,Matric,,,,,Checkanurani,,,,,,,
,,,,Vikaasa World School,"CBSE, IGCSE",,,,,Veerapandi,,,,,,,
,,,,Royal Vidyalaya Matric HR Sec School,Matric,,,,,Vilangudi,,,,,,,
,,,,Christu Jyothi International School,"CBSE, IGCSE",,,,,Vilangudi,,,,,,,
,,,,Allwin Matric HR Sec School,Matric,,,,,Koodal Nagar,,,,,,,
,,,,Maharishi Public School,CBSE,,,,,Koodal Nagar,,,,,,,
,,,,S.E.V Matric HR Sec School,Matric,,,,,Narayanapuram,,,,,,,
,,,,Sri Lakshmi Academy,CBSE,,,,,Narayanapuram,,,,,,,
,,,,Sri Sai Vidya Mandir,Matric,,,,,Mudakkathan,,,,,,,
,,,,Sri Venkateshwara School,CBSE,,,,,Mudakkathan,,,,,,,
,,,,Sri Raghavendra Vidyalaya,ICSE,,,,,Sikkandhar Chavadi,,,,,,,
,,,,Rainbow International School,CBSE,,,,,Sikkandhar Chavadi,,,,,,,
,,,,Sri Jayendra Saraswathy Vidya Mandir,ICSE,,,,,Chokkikulam,,,,,,,
,,,,Sri Durga Public School,Matric,,,,,Chokkikulam,,,,,,,
,,,,Sri Krishnan Academy,CBSE,,,,,Annaiyur,,,,,,,
,,,,Sri Shankara Vidya Niketan,Matric,,,,,Annaiyur,,,,,,,
,,,,Sri Vaishnavi Academy,"CBSE, ICSE",,,,,Samayanallur,,,,,,,
,,,,Sri Ramakrishna Vidyapith,Matric,,,,,Samayanallur,,,,,,,
,,,,Sri Saraswathi Public School,CBSE,,,,,Chatirapatty,,,,,,,
,,,,Sri Sai Baba Academy,Matric,,,,,Chatirapatty,,,,,,,
,,,,Sri Vidya Vihar Academy,CBSE,,,,,A.Kosakulam,,,,,,,
,,,,Sri Aurobindo Academy,ICSE,,,,,A.Kosakulam,,,,,,,
,,,Madurai Southzone,Adhyapana School,CBSE,,,,,"Madurai-Dindigul Main Road, Paravai",,,,,,,
,,,,Delhi World Public School,CBSE,,,,,"Mangayarkarasi Nagar, Paravai",,,,,,,
,,,,Maharishi Vidya Mandir School,CBSE,,,,,"Kovilpapakudi Main Road, Koodal Nagar",,,,,,,
,,,,Dolphin Elite School,CBSE,,,,,"Jai Nagar, Ponmeni",,,,,,,
,,,,Jain Vidyalaya CBSE,CBSE,,,,,"New Natham Road, Thiruppalai",,,,,,,
,,,,Mahatma Montessori School,CBSE,,,,,"Gopalakrishnan Nagar, Melur",,,,,,,
,,,,Mahatma Global Gateway School,CBSE,,,,,"Veerapanchan, Madurai",,,,,,,
,,,,Mount Litera Zee School,CBSE,,,,,"Nagari-Sholavandan Road, Rayapuram",,,,,,,
,,,,SBOA Matriculation Higher Secondary School,MATRIC,,,,,"Melakuilkudi Road, Nagamalai West",,,,,,,
,,,,Amali Matric Higher Secondary School,MATRIC,,,,,"New Ramnad Road, Madurai South",,,,,,,
,,,,De Nobili Matric Higher Secondary School,MATRIC,,,,,"K. Pudur, Madurai",,,,,,,
,,,,Fatima Matric Higher Secondary School,MATRIC,,,,,"Fatima Nagar, Thiruppalai",,,,,,,
,,,,Sri Prassana Venkateswara Matric School,MATRIC,,,,,"Ponmeni, Madurai South",,,,,,,
,,,,Goodluck Matric School,MATRIC,,,,,"Meenakshi Nagar Main Road, Villapuram",,,,,,,
,,,,Auxilium Higher Secondary School,MATRIC,,,,,"Alagarkoil Road, Thirumalpuram",,,,,,,
,,,,Sri Vetrivel Vodasala Matric School,MATRIC,,,,,"Melakkal Main Road, Mellakkal",,,,,,,
,,,,ALM Matric High School,MATRIC,,,,,"Arasaradi, Ponmeni",,,,,,,
,,,,Sri Sarada Vidyalaya Matric School,MATRIC,,,,,"Madam Lane, Lakshmi Narayanapuram",,,,,,,
,,,,Allwin Matric Higher Secondary School,MATRIC,,,,,"Koodal Nagar, Madurai West",,,,,,,
,,,,Nadar Saraswathi Matriculation School,ICSE & MATRIC,,,,,"Usilampatti, Madurai",,,,,,,
,,,,St. Michael Matriculation School,ICSE,,,,,"P & T Nagar Extension, Madurai",,,,,,,
,,,,Asian Matric Higher Secondary School,MATRIC,,,,,"Melur Road, Madurai",,,,,,,
,,,,Guhan Matric Higher Secondary School,MATRIC,,,,,"Ramnad Road, Madurai South",,,,,,,
,,,,Modern Matriculation School,MATRIC,,,,,"Thirumothu Road, Madurai",,,,,,,
,,,,Devasakayam Matric Higher Secondary School,MATRIC,,,,,"Pasumalai, Madurai",,,,,,,
,,,"Melur & Melur
T. Kallupatti",Royal Vidyalaya CBSE,cbse,,,,,melur main,,,,,,,
,,,,Milton Matriculation Higher Secondary School,matric,,,,,alagar kovil road,,,,,,,
,,,,Sri Sundareswara Vidya Sala Matric Higher Sec School,matric,,,,,aatukulam,,,,,,,
,,,,Abdulkalam Vithyabavan Matriculation School,Matric,,,,,sivagangai main rd,,,,,,,
,,,,Asian Matriculation Higher Secondary School,Matric,,,,,melur   ,,,,,,,
,,,,Vetrivel Vidyasala Matriculation School,matric,,,,,melur,,,,,,,
,,,,Seventh Day Adventist Matriculation School,MATRIC,,,,,melur   ,,,,,,,
,,,,Mahabharatham Matric Higher Secondary School,MATRIC,,,,,kilangulam,,,,,,,
,,,,Samabharatham Matric Higher Secondary School,MATRIC,,,,,thambipatti,,,,,,,
,,,,Lord Venkateswara Matriculation Higher Sec School,matric,,,,,virudhunagar via,,,,,,,
,,,,Alfred Nobel Matriculation School,matric,,,,,ram nagar,,,,,,,
,,,,Sri Lakshumanan Memorial Jaya Matric School,matric,,,,,T. kallupatti,,,,,,,
,,,Kallikudi,PKN Matriculation Higher Secondary School,Matriculation,,,,,Usilampatti Road,,,,,,,
,,,,Krishnamal Ramasubbaiyer School,CBSE,,,,,Aruppukottai Road,,,,,,,
,,,,Lakshmi Nursery & Primary School,Matric (N&P),,,,,K. Chatram,,,,,,,
,,,,TAAC CBSE School (Akshaya Academy Campus),CBSE,,,,,Avaniyapuram Road,,,,,,,
,,,,KMR International School,CBSE,,,,,4 Ways Track Service Rd,,,,,,,
,,,,Vikaasa World School,IGCSE / CIE,,,,,Oomachikulam Rd,,,,,,,
,,,,Jeevana School,ICSE / ISC,,,,,"Jay Nagar, Bypass Road",,,,,,,
,,,,Vthworld International School,IB / International,,,,,Thuvariman,,,,,,,
,,,,NRM Dream International School,CBSE / Matric,,,,,Tirumangalam Main Rd,,,,,,,
,,,,Evergreen Vidhyaashram,CBSE,,,,,Muthupatti Pirivu,,,,,,,
,,,Thirumangalam ,PKN Vidyalaya CBSE School,CBSE,,,,,Usilampatti Road,,,,,,,
,,,,NRM Dream International School,CBSE,,,,,Sathangudi,,,,,,,
,,,,St Francis Matriculation Higher Secondary School,Matriculation,,,,,East Street,,,,,,,
,,,,Keren Matric Higher Secondary School,Matriculation,,,,,Checkanurani Rd,,,,,,,
,,,,OM Sadhana Central School,CBSE,,,,,Theni Main Road,,,,,,,
,,,,TAAC CBSE School (Akshaya Academy Campus),CBSE,,,,,Avaniyapuram Road,,,,,,,
,,,,KMR International School,CBSE,,,,,4 Ways Track Rd,,,,,,,
,,,,Keswick Public School,ICSE / ISC,,,,,Melur Main Road,,,,,,,
,,,,Bharathiya Vidyalaya Nursery & Primary School,Matric (N&P),,,,,Thirumangalam Town,,,,,,,
,,,,Kazhuvathevar Memorial Matric Higher Sec School,Matriculation,,,,,Kallikudi Road,,,,,,,
,,,Usilampatti ,Ponmani Matriculation Higher Secondary School,Matriculation,,,,,Peraiur Road,,,,,,,
,,,,Keren CBSE School,CBSE,,,,,Usilampatti Town,,,,,,,
,,,,Gurudev Matriculation School,Matriculation,,,,,Boodipuram,,,,,,,
,,,,Aachi International School,CBSE / International,,,,,Usilampatti Region,,,,,,,
,,,,Green Park Matriculation School,Matriculation,,,,,Usilampatti Town,,,,,,,
,,,,Viswa Vidyalaya Matric Hr. Sec. School,Matriculation,,,,,Elumalai Main Rd,,,,,,,
,,,,Bharathiyar Matriculation Higher Secondary School,Matriculation,,,,,Elumalai Region,,,,,,,
,,,,Seventh-Day Adventist School,Matriculation,,,,,Thiruvalluvar Nagar,,,,,,,
,,,,Kalvi Global Matriculation School,Matriculation,,,,,Natham Road,,,,,,,
,,,,Amudham Matriculation Higher Secondary School,Matriculation,,,,,Usilampatti Center,,,,,,,
,,,Sedapatti ,Samabharatham Matric Higher Secondary School,Matriculation,,,,,Sedapatti Town,,,,,,,
,,,,Ponnammal Modern Public School,CBSE,,,,,Sedapatti Region,,,,,,,
,,,,SRI Lakshumanan Memorial Jaya Matriculation School,Matriculation,,,,,Sedapatti Town,,,,,,,
,,,,Sembarani School,Matriculation,,,,,Sembarani Area,,,,,,,
,,,,K.K.G. Matriculation School,Matriculation,,,,,Sedapatti Block,,,,,,,
,,,,Aachi International School,ICSE / ISC,,,,,Theni Main Road,,,,,,,
,,,,Kazhuvathevar Memorial Matriculation Higher Secondary School,Matriculation,,,,,Kallikudi Road,,,,,,,
,,,,Sathya Vidhyalaya International School,CBSE,,,,,Tirumangalam Area,,,,,,,
,,,,Gurudev Matriculation School,Matriculation,,,,,Boodipuram,,,,,,,
,,,,PKN Vidyalaya CBSE School,CBSE,,,,,Usilampatti Road,,,,,,,
,,,Alanganallur ,Thaai Matric Higher Secondary School,Matriculation,,,,,Union Office Road,,,,,,,
,,,,Sri Vignesh Nursery & Primary School,Matric (N&P),,,,,Govt Hospital Road,,,,,,,
,,,,Oorcheri High School Campus,Matriculation,,,,,Oorcheri Region,,,,,,,
,,,,National Nursery & Primary School,Matric (N&P),,,,,Kallanai,,,,,,,
,,,,Grace Nursery & Primary School,Matric (N&P),,,,,Kallanai Panchayat,,,,,,,
,,,,Thaai Nursery & Primary School,Matric (N&P),,,,,Palamedu Area,,,,,,,
,,,,Kalvi Global Matriculation School,Matriculation,,,,,Naganakulam,,,,,,,
,,,,Vallaba Vidyalaya,CBSE,,,,,Arumbanur,,,,,,,
,,,,Vikaasa World School,IGCSE / ICSE,,,,,Veerapandi Road,,,,,,,
,,,,S.E.V. Matriculation Higher Secondary School,Matriculation,,,,,New Natham Road,,,,,,,
,,Theni,Theni block cluster,Benedict Matric Higher Secondary School,Matriculation,,,,,"MRR Nagar, Palanichettipatti",,,,,,,
,,,,Mary Matha CMI Public School,CBSE,,,,,"Madurai Main Road, NRT Nagar",,,,,,,
,,,,Velammal Matriculation Higher Secondary School,Matriculation,,,,,"Kumuli National Highway, Allinagaram",,,,,,,
,,,,Madurai CEOA Matric Hr. Sec. School,Matriculation,,,,,"Benedict Nagar, Palanichettipatti",,,,,,,
,,,,Purna Vidya Bhavan Public School,CBSE,,,,,"NH 49, Kochi-Madurai Highway",,,,,,,
,,,,The Little Kingdom Senior School,CBSE / IGCSE,,,,,"Valkaradu R.F., Theni",,,,,,,
,,,,Bagya Matriculation School,Matriculation,,,,,"Veerappa Ayanaar Kovil Salai, Allinagaram",,,,,,,
,,,,Bose Nursery & Primary School,State Board,,,,,"North Jeganathapuram, Palanichettipatti",,,,,,,
,,,,Theni Melapettai Hindu Nadar Uravinmurai School,Matriculation,,,,,"Kamarajrar Nagar, Allinagaram",,,,,,,
,,,,Theni College of Arts and Science Campus School,Matriculation,,,,,"Cumbum Highway, Veerapandi",,,,,,,
,,,,Kalvi International Public School,CBSE / IGCSE,,,,,"Devangar College Road, Kottur Border",,,,,,,
,,,,Life Innovation Public School,CBSE,,,,,"Periyakulam Main Road, Sri Ram Nagar",,,,,,,
,,,,Velammal Vidyalaya CBSE School,CBSE,,,,,"Velammal Gardens, Kodangipatti",,,,,,,
,,,Periyakulam block cluster,St. Anne's Matriculation Higher Secondary School,Matriculation,,,,,"Kailasapatty, Periyakulam",,,,,,,
,,,,Renuka Vidyalaya Matriculation School,Matriculation,,,,,"Vadugapatti Main Road, Vadugapatti",,,,,,,
,,,,Cheran Matriculation Higher Secondary School,Matriculation,,,,,"Thamaraikulam Bypass, Thamaraikulam",,,,,,,
,,,,N.S.V.V. Matriculation Higher Secondary School,Matriculation,,,,,"Batlagundu Main Road, Devadanapatti",,,,,,,
,,,,Amala Annai Matriculation School,Matriculation,,,,,"Jayakumar Nagar, Melmangalam",,,,,,,
,,,,Arise Centennial CBSE School,CBSE,,,,,"Theni Main Road, Kailasapatty",,,,,,,
,,,,Lord Venkateshwara Matriculation School,Matriculation,,,,,"Vathalagundu Highway, Genguvarpatti",,,,,,,
,,,,Grace Matriculation School,Matriculation,,,,,"Erasakkanaickenur Road, E.Pudhupatti",,,,,,,
,,,,Sahaya Matha Nursery & Primary School,State Board,,,,,"South Street, Periyakulam Town",,,,,,,
,,,,Green Valley Public School,CBSE,,,,,"Periyakulam-Theni Highway, Thamaraikulam",,,,,,,
,,,,V.M.G. Rajah Matriculation School,Matriculation,,,,,"Melachokkannathapuram, Vadugapatti",,,,,,,
,,,,Sree Krishna Matriculation School,Matriculation,,,,,"Genguvarpatti Road, Devadanapatti",,,,,,,
,,,Bodinayakanur block cluster,Cardamom Planters' Association (CPA) Matric Higher Secondary School,Matriculation,,,,,"Pankajam Colony, Bodinayakanur",,,,,,,
,,,,ZKM Matriculation Higher Secondary School,Matriculation,,,,,"Subban street, Bodinayakanur Town",,,,,,,
,,,,Saraswathi Vidyalaya Matriculation School,Matriculation,,,,,"Bodi-Uthamapalayam Highway, Silamalai",,,,,,,
,,,,Dr. Jeyachandran Matriculation School,Matriculation,,,,,"Main Road, Dombuchery",,,,,,,
,,,,Nava Nirman Public School,CBSE,,,,,"Thevaram Road, Bodinayakanur",,,,,,,
,,,,Bala Vidya Mandir Matriculation School,Matriculation,,,,,"Chinnamanur Main Road, Rasingapuram",,,,,,,
,,,,Sri Ramana Maharishi Nursery & Primary School,State Board,,,,,"Sinnamanur Road, Bodi Rural",,,,,,,
,,,,M.A.V.M. Matriculation School,Matriculation,,,,,"Kerala Border Road, Meenakshipuram",,,,,,,
,,,,St. John's Matriculation School,Matriculation,,,,,"Melachurandipatti Road, Bodinayakanur",,,,,,,
,,,,Vivekananda Public School,CBSE,,,,,"Pottipuram Road Junction, Silamalai",,,,,,,
,,,Uthamapalayam & cumbum block cluster ,The Crescent Matriculation Hr.Sec.School,Matriculation,,,,,"Kottai Medu, Uthamapalayam",,,,,,,
,,,,Jay Tech International School,CBSE,,,,,"Cumbum North Bypass Junction, Puduppatti",,,,,,,
,,,,Gayathri Matriculation Higher Secondary School,Matriculation,,,,,"Odaipatti - Seepalakottai Road, Chinnamanur",,,,,,,
,,,,ALHIKMAH MATRIC HR.SEC SCHOOL,Matriculation,,,,,"PTR Colony, Lakshmipuram, Uthamapalayam",,,,,,,
,,,,RR INTERNATIONAL SCHOOL,CBSE,,,,,"National Highway 183, Puduppatti, Cumbum",,,,,,,
,,,,SRI VIKASA VIDYALAYA MATRIC HR SCHOOL,Matriculation,,,,,"Palayam - Bodi Road, Uthamapalayam",,,,,,,
,,,,St.Francis Assisi Matriculation School,Matriculation,,,,,"Ponnagaram Road, Chinnamanur",,,,,,,
,,,,Veena Vidhyalaya Matriculation School,Matriculation,,,,,"North Street, Ward No. 6, Puduppatti",,,,,,,
,,,,SHRI VIKASA VIDYALAYA PUBLIC SCHOOL,CBSE,,,,,"Uthupetty Road, Chinnamanur",,,,,,,
,,,,S.U.M. HIGHER SECONDARY & PRIMARY SCHOOL,State Board,,,,,"East Street, Anaimalayampatty, Royappanpatti",,,,,,,
,,,,Little Nest Nursery and Primary School,State Board,,,,,"Kollam-Theni Highway, Uthamapalayam Court",,,,,,,
,,,,Nagmaniammal Memorial Matriculation Higher Secondary School,Matriculation,,,,,"Bharathiyar Nagar, Cumbum Town",,,,,,,
,,,,SAB.Matric Hr Sec School,Matriculation,,,,,"Main Town Area, Uthamapalayam",,,,,,,
,,,,Green Mount Public School,CBSE,,,,,Pannaipuram Block Border,,,,,,,
,,,Chinnamanur cluster,Gayathri Matriculation Higher Secondary School,Matriculation,,,,,Odaipatti - Seepalakottai Road,,,,,,,
,,,,Shri Vikasa Vidyalaya Public School,CBSE,,,,,Uthupetty Road,,,,,,,
,,,,St. Francis Assisi Matriculation School,Matriculation,,,,,Ponnagaram Road,,,,,,,
,,,,Dr. V.G.N. Matriculation School,Matriculation,,,,,"Main Road, Seepalakottai",,,,,,,
,,,,Sri Vinayaga Nursery & Primary School,State Board,,,,,"Kalaignar Nagar, Odaipatti",,,,,,,
,,,,Royal Matriculation Higher Secondary School,Matriculation,,,,,"Theni Highway, Markayankottai",,,,,,,
,,,,Annai Indira Memorial Nursery & Primary School,State Board,,,,,"Mullai Nagar, Chinnamanur",,,,,,,
,,,,Everest Public School,CBSE,,,,,Erasakkanaickenur Road Junction,,,,,,,
,,Dindigul,"Chettinaickenpatti, Thadikombu, Balakrishnapuram & Siluvathur",Shri Gurumuki Vidhyashram School,CBSE,,,,,Puthu Kappiliyapatti,,,,,,,
,,,,Om Shanthi CBSE Higher Secondary School,CBSE,,,,,Meenachinayakkanpatti,,,,,,,
,,,,M.S.P. Solai Nadar Memorial Higher Secondary School,Matriculation,,,,,GTN Road / Anna Nagar,,,,,,,
,,,,SLV Matriculation Higher Secondary School,Matriculation,,,,,Vathistapuram,,,,,,,
,,,,Achyuta Public School,CBSE,,,,,Thadicombu Road,,,,,,,
,,,,Vidvida Academy,CBSE,,,,,Sriramapuram,,,,,,,
,,,,DNU S.M.B.M. National Public School,CBSE,,,,,Masilamanipuram,,,,,,,
,,,,Akshaya Vidyalaya Matric Higher Secondary School,Matriculation,,,,,Trichy Dindigul Road,,,,,,,
,,,,Kamarajar Vidhyalaya Matriculation School,Matriculation,,,,,Thadicombu Road,,,,,,,
,,,,Soundararaja Vidyalaya CBSE School,CBSE,,,,,Natham Road / Suba Nagar,,,,,,,
,,,,Luxor World School,IGCSE / CBSE,,,,,Emerald Valley / Kalikkampatty,,,,,,,
,,,,Kamarajar Vidhyalaya,Matriculation,,,,,Meenachinayakkanpatti,,,,,,,
,,,Nilakottai,Damien Public Senior Secondary School,CBSE,,,,,Diraviam Nagar,,,,,,,
,,,,Kumarappa Chettiyar Memorial Matric Higher Secondary School,Matriculation,,,,,Muthulingam Nagar,,,,,,,
,,,,Chendur Murugan Nursery & Primary School,Matriculation,,,,,Ammayanayakkanur,,,,,,,
,,,,Dolphine Nursery And Primary School,Matriculation,,,,,Nilakottai Town,,,,,,,
,,,,Angu Arumuga Nursery And Primary School,Matriculation,,,,,Pallapatti Area,,,,,,,
,,,,MVM Kalaivani Matriculation School,Matriculation,,,,,Nilakottai Rural,,,,,,,
,,,,First Step Public School,CBSE,,,,,Kanavaipatty,,,,,,,
,,,,Laurel Nursery And Primary School,Matriculation,,,,,Nilakottai Center,,,,,,,
,,,,Cheran Global School,CBSE / Matric,,,,,Nilakottai Ring Road,,,,,,,
,,,Vedasandur,Akshara Public School,CBSE,,,,,Sri Mahalakshmi Nagar,,,,,,,
,,,,B.V.M Matric School,Matriculation,,,,,Vedasandur Town,,,,,,,
,,,,Vivekanandar Vidhya Mandir CBSE School,CBSE,,,,,Navamarathupatti,,,,,,,
,,,,St. Patrick's Academy Matric Higher Secondary School,Matriculation,,,,,Kaalanampatty,,,,,,,
,,,,Bedford Academy Matriculation Higher Secondary School,Matriculation,,,,,Vedasandur Bypass,,,,,,,
,,,,Kidzee Vedasandur Preschool,Play School,,,,,Rajagopalapuram,,,,,,,
,,,,St. John Paul Academy CBSE School,CBSE,,,,,Vedasandur Peripheral,,,,,,,
,,,Oddanchatram,Sri Krishna CBSE Senior Secondary School,CBSE,,,,,Thiruvalluvar Salai,,,,,,,
,,,,Akshaya Academy CBSE School (TAAC),CBSE,,,,,Dindigul Highway / Pudhuchatram,,,,,,,
,,,,Kalvi Matriculation Higher Secondary School,Matriculation,,,,,Kappiliyapatti,,,,,,,
,,,,Christian Matriculation Higher Secondary School,Matriculation,,,,,Palani Road,,,,,,,
